#{"t_start": 1787939463.9337525, "env_id": "None"}
r,l,t
-3.65,14,110.238446
4.0,7,110.272135
4.6,3,110.301935
4.75,2,110.332532
4.75,2,110.358045
-3.45,10,110.39696
4.15,6,110.428906
-3.65,14,110.47107
4.15,6,110.501281
-3.6,13,110.539946
4.0,7,110.576368
-3.4,9,110.618269
-3.45,10,110.660938
4.45,4,110.694307
4.0,7,110.731172
4.0,7,110.768843
4.6,3,110.798913
4.45,4,110.825628
-3.15,4,110.855973
-3.2,5,110.883546
4.3,5,110.909872
3.7,9,110.946322
4.0,7,110.977885
4.45,4,111.005252
4.15,6,111.035473
-3.5,11,111.078047
-3.4,9,111.113622
3.1,13,111.154284
3.7,9,111.190575
4.0,7,111.233894
3.4,11,111.271918
4.6,3,111.300929
4.45,4,111.329962
-3.5,11,111.366757
4.45,4,111.395978
3.85,8,111.59449
4.6,3,111.622106
4.3,5,111.65624
3.7,9,111.698041
4.45,4,111.734363
4.3,5,111.76611
4.6,3,111.796784
4.3,5,111.82735
3.7,9,111.866779
-3.05,2,111.898398
4.0,7,111.936225
4.75,2,111.966374
4.0,7,111.998969
3.7,9,112.041559
3.7,9,112.083784
4.15,6,112.116889
-1.75,15,112.166214
-3.0,1,112.192666
4.3,5,112.226502
3.55,10,112.265775
4.3,5,112.297721
4.3,5,112.327546
-1.75,15,112.374321
-3.7,15,112.416058
4.75,2,112.441591
3.85,8,112.477881
4.75,2,112.50337
4.9,1,112.525124
3.55,10,112.559299
4.15,6,112.592482
-3.05,2,112.616714
4.3,5,112.642516
4.3,5,112.671984
-3.1,3,112.701841
3.85,8,112.749767
-3.15,4,112.781578
-3.05,2,112.805464
4.45,4,112.83519
4.75,2,112.858354
4.3,5,112.885256
3.25,12,112.922952
-1.75,15,112.967729
3.4,11,113.158488
4.0,7,113.191525
4.15,6,113.22312
4.0,7,113.254263
4.15,6,113.286273
-3.35,8,113.319984
3.85,8,113.358951
4.6,3,113.384827
4.6,3,113.407371
4.3,5,113.439095
-3.2,5,113.468553
4.45,4,113.504106
4.75,2,113.537083
-3.4,9,113.581686
4.3,5,113.612473
-3.5,11,113.65276
4.45,4,113.68071
3.1,13,113.736533
4.15,6,113.773582
4.0,7,113.80841
4.45,4,113.837882
4.45,4,113.869642
4.0,7,113.904355
3.25,12,113.948807
-3.4,9,113.984562
4.45,4,114.015564
-3.2,5,114.042083
4.45,4,114.067356
-3.35,8,114.101703
3.4,11,114.142276
3.25,12,114.184685
3.4,11,114.228795
4.6,3,114.252951
3.55,10,114.289258
4.6,3,114.31452
4.0,7,114.347432
4.15,6,114.37962
3.85,8,114.410534
4.15,6,114.586736
3.85,8,114.640967
3.85,8,114.691307
4.0,7,114.740221
3.4,11,114.787966
3.4,11,114.829733
4.6,3,114.858121
3.7,9,114.895045
4.6,3,114.929263
3.7,9,114.967233
4.15,6,115.002674
4.75,2,115.030447
3.7,9,115.072735
4.6,3,115.105074
-3.2,5,115.138262
4.3,5,115.17562
3.55,10,115.220724
3.85,8,115.2598
4.75,2,115.287624
4.45,4,115.323168
4.45,4,115.366486
4.3,5,115.403275
3.25,12,115.449249
