#{"t_start": 1787939897.3032408, "env_id": "None"}
r,l,t
4.0,7,62.076779
3.85,8,62.11912
4.6,3,62.143233
3.7,9,62.179411
4.45,4,62.20734
4.75,2,62.234919
3.85,8,62.276693
-3.65,14,62.321835
4.6,3,62.349628
4.3,5,62.38155
3.55,10,62.419745
4.6,3,62.44756
-1.75,15,62.492991
3.55,10,62.532572
-1.75,15,62.581007
3.85,8,62.617466
4.6,3,62.647094
4.6,3,62.67953
3.7,9,62.722646
3.55,10,62.763356
4.6,3,62.789669
-1.75,15,62.833284
3.25,12,62.875646
4.45,4,62.90681
4.45,4,62.936153
4.6,3,62.960946
4.75,2,62.99048
4.45,4,63.023269
4.6,3,63.057803
4.3,5,63.093754
4.6,3,63.120754
3.7,9,63.162132
4.9,1,63.189199
4.15,6,63.222846
4.3,5,63.258369
4.6,3,63.288165
3.25,12,63.47682
4.0,7,63.510179
3.85,8,63.545553
4.6,3,63.573154
4.3,5,63.603925
3.55,10,63.641582
3.85,8,63.683865
3.85,8,63.719296
3.55,10,63.758664
3.7,9,63.797098
4.45,4,63.833602
4.0,7,63.871556
3.85,8,63.912088
4.0,7,63.951897
4.0,7,63.982774
4.15,6,64.016867
4.6,3,64.046829
4.3,5,64.077145
4.45,4,64.109873
4.45,4,64.142109
4.6,3,64.173023
3.55,10,64.20993
4.45,4,64.246115
4.3,5,64.277819
-3.55,12,64.324693
-1.75,15,64.371788
4.3,5,64.398991
-3.55,12,64.441991
4.6,3,64.476153
3.4,11,64.517479
4.75,2,64.540001
-1.75,15,64.588377
4.15,6,64.622159
4.3,5,64.651114
3.7,9,64.686673
4.45,4,64.714096
4.75,2,64.739957
4.75,2,64.765162
4.6,3,64.791502
4.0,7,64.966412
3.25,12,65.007542
3.7,9,65.044348
4.45,4,65.078521
4.15,6,65.113047
4.45,4,65.141127
4.6,3,65.169156
4.6,3,65.193653
4.6,3,65.219855
4.6,3,65.246876
-3.1,3,65.275592
4.3,5,65.306189
4.45,4,65.339167
4.6,3,65.36366
4.3,5,65.393836
4.0,7,65.430216
4.3,5,65.461172
4.3,5,65.490252
4.45,4,65.517748
3.7,9,65.549796
4.75,2,65.577403
4.6,3,65.607091
3.4,11,65.651684
4.75,2,65.677176
3.55,10,65.718167
4.75,2,65.745807
4.45,4,65.777268
4.3,5,65.807389
4.3,5,65.840406
3.4,11,65.876813
-1.75,15,65.918817
4.3,5,65.946287
4.75,2,65.968028
4.0,7,65.998544
3.25,12,66.037351
4.6,3,66.061726
4.45,4,66.091393
-1.75,15,66.138335
4.3,5,66.166072
4.15,6,66.196048
4.15,6,66.225751
4.0,7,66.256475
4.75,2,66.278395
4.3,5,66.314981
-1.75,15,66.524786
4.75,2,66.551309
3.55,10,66.587149
-3.25,6,66.618332
3.55,10,66.654439
4.6,3,66.682126
3.85,8,66.717285
4.6,3,66.743888
4.15,6,66.773588
3.4,11,66.811537
3.25,12,66.857402
4.6,3,66.883889
-1.75,15,66.926459
4.3,5,66.957626
4.75,2,66.983239
4.15,6,67.015523
4.6,3,67.050179
4.9,1,67.070787
4.45,4,67.097852
3.7,9,67.135401
-1.75,15,67.184254
4.3,5,67.214941
3.7,9,67.251824
4.15,6,67.28976
4.75,2,67.32107
4.45,4,67.349302
-1.75,15,67.402312
4.6,3,67.434499
4.45,4,67.468247
3.55,10,67.507711
4.15,6,67.53858
4.45,4,67.56868
4.15,6,67.606284
3.4,11,67.644769
4.15,6,67.672954
4.0,7,67.701637
4.6,3,67.728785
4.45,4,67.761057
3.85,8,67.947299
4.6,3,67.978361
4.75,2,68.008316
4.0,7,68.042382
4.75,2,68.066219
4.75,2,68.091575
4.75,2,68.117914
4.45,4,68.143919
3.55,10,68.179972
4.6,3,68.205177
4.15,6,68.235945
4.6,3,68.262482
4.15,6,68.295753
3.85,8,68.329397
4.45,4,68.359809
4.6,3,68.389383
4.6,3,68.418915
4.15,6,68.453731
-1.75,15,68.500055
4.15,6,68.537385
-1.75,15,68.585243
4.15,6,68.620229
3.85,8,68.656673
4.45,4,68.692042
4.15,6,68.726883
4.6,3,68.75711
4.15,6,68.791364
4.3,5,68.823249
3.85,8,68.85999
4.3,5,68.891701
4.15,6,68.923472
3.85,8,68.958421
4.15,6,68.992602
4.45,4,69.018289
4.0,7,69.050678
3.25,12,69.088866
4.75,2,69.115468
3.85,8,69.148778
4.75,2,69.173291
4.3,5,69.203714
4.3,5,69.237217
4.75,2,69.260199
3.7,9,69.300491
4.45,4,69.326155
2.95,14,69.524978
4.75,2,69.55356
4.3,5,69.592269
4.6,3,69.624809
-1.75,15,69.680013
3.7,9,69.719453
3.7,9,69.765673
4.45,4,69.79482
3.7,9,69.843013
4.75,2,69.876014
4.15,6,69.911913
4.45,4,69.941346
-1.75,15,69.9879
3.85,8,70.027181
3.85,8,70.068026
4.6,3,70.103164
4.45,4,70.157861
4.15,6,70.208544
4.3,5,70.255576
4.45,4,70.294171
4.15,6,70.347607
3.55,10,70.393924
3.85,8,70.429276
-3.65,14,70.478315
4.45,4,70.506392
4.6,3,70.538015
3.7,9,70.57258
-3.6,13,70.623773
4.45,4,70.654487
4.3,5,70.681792
4.45,4,70.708906
4.6,3,70.734853
4.9,1,70.761022
3.55,10,70.800713
4.45,4,70.831793
4.0,7,70.863118
-3.4,9,70.904121
4.3,5,70.934614
4.0,7,70.964048
4.6,3,70.989116
4.9,1,71.010794
4.3,5,71.184618
4.45,4,71.211301
3.85,8,71.243911
4.6,3,71.270624
-3.3,7,71.303447
4.15,6,71.335291
4.6,3,71.359657
4.3,5,71.389092
-3.55,12,71.431583
3.7,9,71.463959
4.6,3,71.488997
4.45,4,71.515681
3.85,8,71.549222
4.0,7,71.582358
3.55,10,71.622737
4.75,2,71.648315
-1.75,15,71.697173
4.45,4,71.726382
4.45,4,71.756599
4.15,6,71.792328
-1.75,15,71.841479
3.25,12,71.888783
3.25,12,71.9293
4.45,4,71.957056
4.0,7,71.99746
4.6,3,72.025637
4.15,6,72.054999
3.55,10,72.096918
4.45,4,72.13436
4.15,6,72.169383
3.7,9,72.208277
4.0,7,72.244189
4.75,2,72.274937
4.6,3,72.308096
4.0,7,72.343879
4.6,3,72.369748
4.6,3,72.392146
-3.25,6,72.42798
3.4,11,72.472127
3.85,8,72.662586
4.45,4,72.692105
-3.0,1,72.716909
4.75,2,72.742713
-1.75,15,72.790474
4.45,4,72.81981
-3.15,4,72.848168
-1.75,15,72.891734
4.6,3,72.920436
4.3,5,72.951523
-1.75,15,73.010955
4.0,7,73.042572
4.0,7,73.07841
4.45,4,73.110302
3.55,10,73.14869
4.75,2,73.171998
4.75,2,73.201831
4.9,1,73.227752
3.7,9,73.268988
-3.4,9,73.307344
4.3,5,73.338649
4.0,7,73.373612
4.15,6,73.40494
4.9,1,73.427689
4.45,4,73.455201
4.6,3,73.48467
4.15,6,73.519691
4.0,7,73.557125
3.85,8,73.603158
3.55,10,73.642111
-1.75,15,73.694352
4.6,3,73.726744
3.7,9,73.767697
3.7,9,73.801709
3.4,11,73.837825
4.0,7,73.873905
3.85,8,73.905432
3.85,8,73.937377
4.6,3,73.965976
-3.55,12,74.142714
4.45,4,74.170967
4.45,4,74.200403
-1.75,15,74.242089
3.7,9,74.290687
4.45,4,74.322549
4.15,6,74.352509
4.45,4,74.37825
4.0,7,74.415558
4.3,5,74.446757
4.45,4,74.474402
4.15,6,74.508631
4.15,6,74.544388
4.0,7,74.579724
-1.75,15,74.624537
