#{"t_start": 1787938173.2998667, "env_id": "None"}
r,l,t
3.55,10,148.741405
3.85,8,148.777938
4.6,3,148.805461
4.75,2,148.827521
4.15,6,148.859758
4.15,6,148.900421
4.0,7,148.939995
4.6,3,148.970233
3.85,8,149.004774
3.55,10,149.039852
4.6,3,149.066244
4.6,3,149.091618
4.6,3,149.116625
4.15,6,149.148862
4.45,4,149.320812
-3.25,6,149.35452
4.6,3,149.376707
4.6,3,149.405441
4.6,3,149.430434
4.15,6,149.46543
4.0,7,149.496863
4.6,3,149.525698
4.0,7,149.557643
4.6,3,149.585378
3.55,10,149.619615
4.15,6,149.652007
4.15,6,149.685989
4.15,6,149.716782
3.25,12,149.756388
4.3,5,149.784857
4.15,6,149.817688
-3.15,4,149.847657
4.15,6,149.883061
4.75,2,149.909432
4.0,7,149.943747
4.15,6,149.973296
4.6,3,150.002445
4.6,3,150.027162
4.75,2,150.051254
4.45,4,150.079647
4.9,1,150.103056
3.55,10,150.142901
3.55,10,150.18627
3.4,11,150.235715
4.45,4,150.269327
4.15,6,150.302577
4.15,6,150.337755
3.85,8,150.373028
4.3,5,150.401435
4.45,4,150.427494
-1.75,15,150.474457
-3.55,12,150.514504
3.55,10,150.554138
-1.75,15,150.595046
4.3,5,150.622539
4.3,5,150.801084
-3.35,8,150.84301
-1.75,15,150.893756
4.3,5,150.92541
3.25,12,150.968711
3.85,8,151.000412
4.3,5,151.030357
4.45,4,151.057508
-1.75,15,151.107984
4.0,7,151.139437
4.75,2,151.161692
4.45,4,151.191249
-1.75,15,151.235174
4.45,4,151.262885
4.6,3,151.288978
4.15,6,151.32087
4.15,6,151.352776
4.15,6,151.385974
3.85,8,151.427439
4.45,4,151.458744
3.85,8,151.494886
3.85,8,151.531837
4.45,4,151.562059
4.0,7,151.599562
4.75,2,151.634142
4.15,6,151.669948
3.25,12,151.727971
4.6,3,151.766659
4.3,5,151.807535
4.6,3,151.838951
4.6,3,151.877577
4.6,3,151.905543
3.7,9,151.942623
4.15,6,151.971845
4.3,5,152.001862
4.6,3,152.030564
4.6,3,152.056285
4.0,7,152.089998
4.3,5,152.124861
4.0,7,152.160954
4.45,4,152.188205
4.6,3,152.368734
